Train,Test,Accuracy
adventure,adventure,0.9727582129156932
adventure,belles_lettres,0.8848500254194205
adventure,editorial,0.8794396467761834
adventure,fiction,0.9173139820114473
adventure,government,0.857994494915641
adventure,hobbies,0.8705203716072621
adventure,humor,0.8991472689559806
adventure,learned,0.8629926108374384
adventure,lore,0.886037044760152
adventure,mystery,0.9246969511448512
adventure,news,0.8892137557929073
adventure,religion,0.8779410644940226
adventure,reviews,0.8770636792452831
adventure,romance,0.9205535403159008
adventure,science_fiction,0.9101589495507948
belles_lettres,adventure,0.9126791843327277
belles_lettres,belles_lettres,0.9725181402227665
belles_lettres,editorial,0.9259625998311798
belles_lettres,fiction,0.9214898960401823
belles_lettres,government,0.9273072150833607
belles_lettres,hobbies,0.9104863683283745
belles_lettres,humor,0.9230698317584697
belles_lettres,learned,0.9240961470795215
belles_lettres,lore,0.9286212930307618
belles_lettres,mystery,0.9227203554373874
belles_lettres,news,0.9268353322592836
belles_lettres,religion,0.9356075027284957
belles_lettres,reviews,0.9244545990566038
belles_lettres,romance,0.9210533832224158
belles_lettres,science_fiction,0.9243953006219765
editorial,adventure,0.8861728822358743
editorial,belles_lettres,0.9062254471507141
editorial,editorial,0.9750665541198623
editorial,fiction,0.8966826305338161
editorial,government,0.9134731948029722
editorial,hobbies,0.8922096059262857
editorial,humor,0.8994699239456095
editorial,learned,0.8983165464461647
editorial,lore,0.9059737622281254
editorial,mystery,0.8974794031730483
editorial,news,0.9182528790500627
editorial,religion,0.9082210208380923
editorial,reviews,0.8982409591194969
editorial,romance,0.8969323926765873
editorial,science_fiction,0.9039391845196959
fiction,adventure,0.9134435118687088
fiction,belles_lettres,0.8917594860655359
fiction,editorial,0.8846503473800402
fiction,fiction,0.9734698049293307
fiction,government,0.8610322746266954
fiction,hobbies,0.8765802416661607
fiction,humor,0.9039410002304679
fiction,learned,0.863905260380014
fiction,lore,0.8891830388308144
fiction,mystery,0.9208662037118018
fiction,news,0.8921276130238479
fiction,religion,0.8870275895327293
fiction,reviews,0.886473073899371
fiction,romance,0.9180686070092257
fiction,science_fiction,0.9076710435383553
government,adventure,0.845187620778172
government,belles_lettres,0.8906733835559458
government,editorial,0.892490747354068
government,fiction,0.8579021142389908
government,government,0.9771809974756478
government,hobbies,0.8872426984030602
government,humor,0.8611200737497119
government,learned,0.9026048997185081
government,lore,0.8888929183401482
government,mystery,0.8550962934457486
government,news,0.9042802872088629
government,religion,0.8959364450874387
government,reviews,0.8801100628930818
government,romance,0.8435206078089743
government,science_fiction,0.8651693158258466
hobbies,adventure,0.884096218741888
hobbies,belles_lettres,0.9015344086518464
hobbies,editorial,0.9024900980455814
hobbies,fiction,0.8931783670131994
hobbies,government,0.9142005505084358
hobbies,hobbies,0.9749954459894347
hobbies,humor,0.8942613505415995
hobbies,learned,0.9045016713581985
hobbies,lore,0.9036165332414619
hobbies,mystery,0.8946282075950253
hobbies,news,0.9123555502516061
hobbies,religion,0.9019010634787685
hobbies,reviews,0.9000098270440252
hobbies,romance,0.892019650966839
hobbies,science_fiction,0.8970283344851416
humor,adventure,0.873669637449165
humor,belles_lettres,0.8676861394832925
humor,editorial,0.8592786182715408
humor,fiction,0.8816142973951642
humor,government,0.8401528873169132
humor,hobbies,0.8492804663306819
humor,humor,0.9777368057156026
humor,learned,0.8429583040112597
humor,lore,0.8638518934895149
humor,mystery,0.8850251010162851
humor,news,0.8695228434473019
humor,religion,0.8628645397091297
humor,reviews,0.8624213836477987
humor,romance,0.885036131501528
humor,science_fiction,0.8827228749136143
learned,adventure,0.8904848432407487
learned,belles_lettres,0.9233720016638166
learned,editorial,0.9174728913706902
learned,fiction,0.9011943698166102
learned,government,0.9328550850720938
learned,hobbies,0.9127573015969397
learned,humor,0.9017746024429593
learned,learned,0.9765130190007038
learned,lore,0.9203528590467729
learned,mystery,0.8999107908132029
learned,news,0.9247469021620224
learned,religion,0.9255057234955202
learned,reviews,0.9130552279874213
learned,romance,0.8974322355831025
learned,science_fiction,0.906496199032481
lore,adventure,0.9062472960110756
lore,belles_lettres,0.9235106530480196
lore,editorial,0.9193071878449451
lore,fiction,0.9142623525289102
lore,government,0.9200907055350342
lore,hobbies,0.9097091505252293
lore,humor,0.9109472228624107
lore,learned,0.9162616555242786
lore,lore,0.9741520775347011
lore,mystery,0.9174202802217986
lore,news,0.9266762137756828
lore,religion,0.9249980963983857
lore,reviews,0.9118759827044025
lore,romance,0.9157978920910571
lore,science_fiction,0.9164478230822392
mystery,adventure,0.9105015719188948
mystery,belles_lettres,0.8807886952904747
mystery,editorial,0.8765015258749432
mystery,fiction,0.911517346104427
mystery,government,0.8552847383658742
mystery,hobbies,0.8669864594085859
mystery,humor,0.8943996312514404
mystery,learned,0.859809333216045
mystery,lore,0.8811865928068251
mystery,mystery,0.9711032202767234
mystery,news,0.8860512759313404
mystery,religion,0.8761389882991955
mystery,reviews,0.8739190251572327
mystery,romance,0.9142983633715118
mystery,science_fiction,0.9048375950241879
news,adventure,0.8956765019757146
news,belles_lettres,0.9080163608633359
news,editorial,0.9155736640477891
news,fiction,0.901033757738582
news,government,0.9198910392629462
news,hobbies,0.9003218167466148
news,humor,0.9016824153030653
news,learned,0.9047105911330049
news,lore,0.9109420756307854
news,mystery,0.9075547936818905
news,news,0.9781808779362333
news,religion,0.909718520774639
news,reviews,0.9030070754716981
news,romance,0.9022450087115478
news,science_fiction,0.9075328265376641
religion,adventure,0.8628104179285282
religion,belles_lettres,0.8921869945001618
religion,editorial,0.8893740666190507
religion,fiction,0.8764017054082467
religion,government,0.88627579616926
religion,hobbies,0.8728277369603498
religion,humor,0.8788200046093569
religion,learned,0.8831423733286418
religion,lore,0.8879500267454827
religion,mystery,0.8731480347740909
religion,news,0.8922171171708734
religion,religion,0.9760907637249676
religion,reviews,0.8830827437106918
religion,romance,0.8706692182456942
religion,science_fiction,0.8826537664132689
reviews,adventure,0.8708430676934614
reviews,belles_lettres,0.8921812173591533
reviews,editorial,0.8880267515096423
reviews,fiction,0.8798767667328583
reviews,government,0.8869461043684128
reviews,hobbies,0.8805513388791062
reviews,humor,0.8814473380963356
reviews,learned,0.8839615587614356
reviews,lore,0.8890470448508146
reviews,mystery,0.8801798177333869
reviews,news,0.8953398174115401
reviews,religion,0.8902256402446762
reviews,reviews,0.9799528301886793
reviews,romance,0.8831081660049699
reviews,science_fiction,0.8881824464409123
romance,adventure,0.9124196013959793
romance,belles_lettres,0.8892002125987891
romance,editorial,0.8817446919031232
romance,fiction,0.915050811821049
romance,government,0.8576094242480425
romance,hobbies,0.8717954945655474
romance,humor,0.9035261581009449
romance,learned,0.8621899190710767
romance,lore,0.887732436377483
romance,mystery,0.9206388077454565
romance,news,0.8897507806750602
romance,religion,0.8866214878550217
romance,reviews,0.8799135220125787
romance,romance,0.9708520179372198
romance,science_fiction,0.9098825155494126
science_fiction,adventure,0.8611519713881919
science_fiction,belles_lettres,0.8523940472339049
science_fiction,editorial,0.8485812609570808
science_fiction,fiction,0.8668379862165635
science_fiction,government,0.8334640672019624
science_fiction,hobbies,0.8386422976501305
science_fiction,humor,0.8622263194284397
science_fiction,learned,0.8356076266713582
science_fiction,lore,0.851213519614865
science_fiction,mystery,0.8706816631391139
science_fiction,news,0.8597668914215247
science_fiction,religion,0.850681489377903
science_fiction,reviews,0.8434797562893082
science_fiction,romance,0.8704121561794864
science_fiction,science_fiction,0.9791983413959917
